resolution,repeat_id,warmup,precision,recall,map50,map50_95,preprocess_ms_img,inference_ms_img,postprocess_ms_img,total_ms_img,wall_time_s,peak_allocated_mib,peak_reserved_mib,split,batch,workers,conf,iou,max_det,half
960,10,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.720304567415535,5.236254912174118,1.5968967372174163,8.55345621680707,4.438901500077918,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,11,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.6064666610308527,5.269671896825623,1.598454903799042,8.474593461655518,4.396866099908948,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,12,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4266568583016301,5.45751959773304,1.6388745089761572,8.523050965010828,4.36813690001145,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,13,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.325167977293722,5.1275803951023065,1.6566091475801334,8.109357519976161,4.4636426998768,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,14,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.8121666656746194,4.232463399496148,1.5006196027731196,6.545249667943888,3.9708331001456827,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,15,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.9641954294874582,4.907167974701212,1.6353228722936382,7.5066862764823075,4.196141800144687,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,16,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.856385622599643,4.54989150683913,1.5919222313837678,6.998199360822541,4.249716900056228,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,17,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.9717281019083815,4.919582352443945,1.6483097988503432,7.539620253202671,4.265693499939516,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,18,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,0.9721836571283395,5.048437258593885,1.5733143743858033,7.5939352901080275,4.362268100026995,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,19,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.715622229038987,5.228863397515775,1.5830758234692945,8.527561450024056,4.314385999925435,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,20,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.6542006530525053,5.589835939234963,1.7972856172622225,9.04132220954969,4.977772600017488,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,21,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.5992130658108423,5.170140515866818,1.645288892772073,8.414642474449732,4.442549100145698,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,22,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4648150326988472,5.4085241855895205,1.6431902014814754,8.516529419769842,4.760987000074238,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,23,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.4345902003031346,5.502607184918779,1.6624137296590928,8.599611114881007,4.854843200184405,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
960,24,False,0.9527229553880192,0.9523083237688305,0.9838293284467288,0.7679497500779525,1.5938679742462496,5.290081041250256,1.650848354401639,8.534797369898145,4.897268499946222,75.08740234375,102.0,val,2,0,0.001,0.7,1000,True
